text,label
有塑造留学生文学的典型形象充当无极一代的代言人,教育
中国书院辞典浙江教育出版社出版图片,教育
从捐献资金支持国防教育到发出倡议关心国防建设,教育
我选手共夺得９２个世界冠军创２９项世界纪录,体育
在过去的一年里中国运动员共夺得９２个世界冠军其中有６个项目１７个奥运会小项的世界冠军占总数的１８·５％,体育
１９９７年中国运动员有２９人２队４３次打破２９项世界纪录其中游泳２人２队４次创４项世界纪录举重２６人３８次创２４项世界纪录短道速滑１人１次创１项世界纪录,体育
本报在全国各省自治区直辖市计划单列市和经济特区都设有记者站驻站记者是为本专栏供稿的主力我们真诚地希望广大读者关心支持这个专栏及时提供稿件或信息,科技
徐虎前排左在华东师范大学的课堂上郭红摄,教育
目前状况办学校当老师也当学生,教育
李国安右和战士研究地质情况,科技
附记邱娥国对记者说开完十五大回到南昌后他深入到机关学校厂矿等２０多个单位宣传十五大精神,教育
做任何工作一定要从当地实际出发这是一个老问题也是一个在新的历史条件下面对党的十五大提出新的历史任务具有新的实际内容需要以新的思维方式来研究和解决的重要问题,科技
教育科技工作也是江苏办实事的重点内容之一经过近几年的努力全省已基本普及九年制义务教育基本扫除青壮年文盲,科技
山东省农业部门利用元旦假日送书下乡深受广大农民欢迎这是省农业部门在邹平县展销农业科技书籍新华社记者张鲁成摄传真照片,科技
日前吉林省产粮大县农民在新农粮库踊跃交售爱国粮吉林省去年虽然遭受自然灾害但广大农民努力加大农业科技投入粮食总产量可达２００亿公斤以上新华社记者丁仁贵摄,科技
新华社天津１２月３０日电记者张淑英一生中爱虎画虎研究虎整整６０年的著名画家慕凌飞因病医治无效于１２月１９日在天津溘然长逝享年８５岁,科技
慕凌飞生前为天津市政协委员市文史研究馆馆员中国美术家协会会员天津市书法家协会会员,科技
杨高中大器晚成的桥梁专家他志存高远勇于开拓设计桥梁时大胆采用新技术新工艺创出了多项全国第一下期中华儿女刊登第九十五篇杨高中巧手绘就人间彩虹编者,科技
查济民先生是我国纺织界元老从３０年代初至今为发展纺织工业倾注了大量心血成绩卓著他认为科技进步和培养人才属当务之急并为此在１９９２年创办了基金会,科技
福州开通两条招商信息热线,科技
转基因水稻三峡截流纳米技术轰动神州,科技
１９９７中国十大科技进展,科技
一我国科学家在世界上成功构建高分辨率的水稻基因组物理全图和首次配制出转基因杂交稻,科技
四纳米电子学超高密度信息存储研究获突破性进展得到的信息存储点阵的点直径为１．３ｎｍ比国外的最小存储点的直径１０ｎｍ小了近一个量级,科技
五银河—Ⅲ百亿次计算机研制成功这标志着我国具备了研制更高性能巨型机的能力,科技
七我国用单克隆抗体技术治疗乙脑获突破单克隆抗体技术用于乙脑的临床治疗在国内外尚属首次,科技
八中国生物三志出版中国植物志中国动物志中国孢子植物志是总结我国生物分类研究成果的创世巨著收载生物１４万种总共有５００余册近２亿字,科技
九科学家在青藏高原钻取冰芯样品创多项世界之最这些冰芯样品为揭示青藏高原过去２万年的环境变化过程预测预报未来青藏高原环境与气候变化提供了丰富的资料,科技
十我国第一根直径１２英寸直拉硅单晶研制成功这一进展使我国成为继美国日本德国后具有拉制大直径硅单晶技术的国家,科技
近几年梁惠珍先后拿出４０多万元帮助一些单位个人解决困难海南省定安县龙门镇三九小学原是一所破旧不堪的学校３年前梁惠珍拿出１０万元捐助这所学校修建校舍,教育
１９９７世界十大科技进展,科技
三科学家在世界上首次获得原子激光美国麻省理工学院的物理学家首次用钠原子获得与普通光子激光有某些相似特性的原子激光在物理学界引起轰动,科技
四美国科学家绘制出Ｘ染色体的高精度图谱并制造出人造染色体这些发明为基因专家们在Ｘ染色体上寻找致病基因和基因疗法的研究创造了便利条件,科技
五首次找到黑洞存在的直接证据来自美国密执安大学的科学家借助地面和太空望远镜以及计算机分析发现这些证据有望帮助解开天文学中神秘的黑洞之谜,科技
六科学家关于新一轮厄尔尼诺现象的预测得到证实,科技
九发现乙肝病毒结构这一成果可帮助科学家从分子角度研究乙肝的致病机理从而为研制乙肝疫苗和治疗药物奠定基础,科技
首都在线开通市民尽享信息服务,科技
本报讯北京市电话局在本市电话网的基础上为首都电话用户提供了中文多媒体信息和服务功能的网络首都在线近日开通,科技
据新华社电北方交通大学与北京建筑工程学院日前签署联合办学协议两校将通过全面合作改变封闭办学的模式实现资源共享优势互补,教育
中国医药企业名典步入信息高速公路,科技
本报讯我国首张采用多媒体技术制作的中国医药企业名典光盘近日驶上国际信息高速公路,科技
据新华社东京１月４日电记者乐绍延日本决定从今年起正式开展维护太空环境安全的研究开发清除太空垃圾维护人造卫星轨道安全等方面的技术,科技
李素丽走近体育健儿附图片１张,体育
第一次走近体育健儿的李素丽看到那么多的世界冠军非常兴奋这不她请邓亚萍签完名后姐妹俩又亲热地聊了起来本报记者王霞光摄影报道,体育
男篮联赛开始第二循环强队新年都过关,体育
本报讯记者薛原报道日历翻到了１９９８年希尔顿全国男篮甲Ａ联赛也开始了预赛第二循环１月４日进行的联赛第十二轮虽然冷门未爆但强队赢得并不都很轻松,体育
在去年１２月３１日进行的第十一轮最后两场比赛中济南军区队主场７３∶６４战胜山东宝元队上海东方队主场以５８∶５７击败北京首钢队,体育
高手如林胜负无常全国冠军胜奥运冠军不稀奇附图片１张,体育
３日的女单比赛也是全国冠军击败世界冠军近期状态不错的削球手王辉以２∶０赢了曾是世乒赛女团冠军成员的王晨,体育
擂台赛的下一站比赛将于１月１０日在呼和浩特市举行,体育
江苏新秀张勇憋足劲将奥运冠军刘国梁拉下马张如亮摄,体育
本报讯代表中国女足最高水平的第二届李宁杯中国女足超霸赛１月４日在成都体育中心进行广东海印队凭借下半时两粒进球力克上海远东队成为中国女子足坛的新霸王,体育
本报北京一月四日讯记者李长云报道九八爱多杯中国围棋电视快棋赛今天在中央电视台拉开序幕小将丁伟五段在首场比赛中执黑中盘战胜女棋手张璇八段,体育
全国排球联赛才战两轮十六支参赛队皆有败绩,体育
提起李宁人们会浮想联翩李宁享誉世界的体操王子李宁名扬四海的体育品牌华夏大地多少人熟悉那个潇洒的英文字母那枚鲜红的Ｌ徽记多像一面昂首屹立迎风招展的旗帜,体育
李宁牌中国体育用品第一品牌,体育
紧跟世界最新科技采用当代最新材料和国际流行款式色彩制造出符合市场需求的精品李宁牌在许多方面已毫不逊色洋品牌,科技
当全国冠军还要当世界冠军但是李宁集团深知中国体育用品业整体水平还不高只有提高自己这一品牌的含金量才能在世界体育经济舞台上赢得喝彩,体育
良好的大局观体现了企业的实力人们有理由相信在世界体育经济这块大棋盘上以李宁牌为代表的民族体育品牌虽无先手之利却有中盘搏杀的勇气而且正在出击,体育
杭州西湖电子集团有限公司研制生产的我国第一代全数字彩电最近投放市场熊猫数字彩电不久也将面世附图片１张,科技
同时数字技术对软件的要求较高而这正是中国科技人员的优势,科技
黑龙江省乳品工业技术开发中心实验厂龙丹牌婴儿配方乳品Ⅱ,科技
据行家讲国内组装车虽与进口车外形相似但仍有区别有些差别无须仪器检测仅凭肉眼直观即可判断可是这群假海马迢迢数千里安然无恙是沿途有关检查人员专业技术不精还是另有他因,科技
杭州暂停新建专业市场近日杭州市政府规定九五期间除列入九五规划的重点骨干市场外市区至１９８８年底原则上停止审批新建商品市场本报新闻信息中心供稿,科技
李建兴图表由北京京求计算机软件公司制作,科技
金长城拓宽电脑家用功能网校把教育家请进家,教育
有这样一所学校你不会因为有事误课而且每一堂课都可以在全国著名教师的指导下与常规教育同步学习,教育
其次网络远程教育是交互式教育它能够发挥学生的主动性使学生和教师之间平等自由地沟通,科技
第三网络远程教育是多元化教育不仅提供单纯的教育信息进行针对性的在线答疑实时教学而且开设了诸如在线讨论网上生活之类的栏目它对于进一步提高网员的综合素质有积极作用,科技
第四网络远程教育是多媒体教育有助于学生加速理解和记忆,科技
目前了解学习电脑网络知识成为京城人又一新时尚仅北京电报局开办的ＣＨＩＮＡＮＥＴ网学习班每周就吸引着数百人参加学习,科技
通知你的银行许多银行都提供特别适合于进出口业务的全面电子服务包括电子资金转账财务管理以及商务贸易单证等据说仅仅贸易偏差的锐减就可大量节省资金,科技
与ＧＳＭ不同ＣＤＭＡ系统具有多径接收软切换技术多径接收具体说就是手机内置多个接收机同时接收信号经综合叠加噪音被滤去清晰的话音就自然凸现出来,科技
夜幕降临了关于山西医用电子仪器厂的问题关于节日期间困难职工的生活问题人们已经分头去落实了解困资金的问题省长们仍在灯下研究着,科技
我真的爱看因特网读者称赞本报网络版,科技
网络版为我学习十五大提供极大方便,科技
由于网络版在信息服务新闻宣传上的特殊作用十五大期间读者对网络版反应强烈每天最高访问人次达１０．９万点击数Ｈｉｔｓ达５０多万,科技
１月５日北京月坛小学和第四聋哑学校的学生参加了迎新年为盲童献爱心捐赠旧挂历活动这些挂历将被制成盲文用纸分送给盲人学校,教育
催生高校学术骨干年轻教师基金资助千人,教育
关注热点问题推动产业发展体育市场开发与新闻传播研讨会在京召开,体育
此次研讨活动为期两天与会代表明天将分组进行座谈研讨１９９８年国内体育竞赛项目的发布洽谈活动也将同时进行,体育
八运失利痛定思痛安徽体育卧薪尝胆再图强,体育
气可鼓而不可泄曾任省体委主任的省委常委常务副省长汪洋提高了嗓门要以市场的眼光办体育抓选才抓教练领导要与运动员教练员滚在一块艰苦奋斗进军九运再创辉煌,体育
变与不变间男篮联赛第一循环印象附图片１张,体育
空军联航队沈阳军区队济南军区队拼劲依然十足但努力的目标依然是保住甲Ａ的席位对于一些地方球队来说拼劲不够是一个难题但对于部队球队来说仅有拼劲也是不够的,体育
篮球管理中心官员说联赛是拳头项目要出精品１９９８年联赛的精品还得打打再看,体育
男篮联赛一景新华社记者罗更前摄,体育
山东鲁能泰山足球俱乐部揭牌,体育
俱乐部聘请的外籍教练近期即可到位另外还将创造条件推进公司上市并将选派二线队员到国外培训,体育
举步迈进１９９８年难以忘却中国足球在过去一年里跌过的跤关于失利的总结尚未完成新的挑战已经来到面前时不我待,体育
研究提高教练员水平需要多学科多角度多层次的综合攻关包括普查中国足球教练员的知识结构文化素养专业履历等等找出水平不高的症结和提高水平的途径,体育
与球奋斗中国足球至今不前换个路子与人奋斗如何,体育
据报道美国戴维斯加利福尼亚大学的研究人员发现了能够控制水果表皮在成熟过程中扩张的一种基因控制这种基因将使水果的保存期更长,教育
保护环境是可持续发展的基础青少年环保意识的培养关系人类生存的未来一些有识之士呼吁在义务教育阶段有必要更多地注入环境教育的内容,教育
动物都是活生生的可一进书本就变得死死的任何一种动物都是形态结构功能三大块地那么介绍为了对付考试必须把它们都记住可随便拿出一种动物图片却认识不了几个,教育
邢云１９５２年生大学文化历任内蒙古伊克昭盟副盟长盟委副书记盟长１９９６年１０月起任盟委书记盟人大工委主任,教育
在南方谈话中邓小平同志提出抓住时机发展自己关键是发展经济要力争隔几年上一个台阶要依靠科技和教育,教育
同学们我叫王×原是宜兴市某中学高三学生去年因犯盗窃罪被判刑７年今天我像一只笼中之鸟被封闭在高墙电网内接受劳动改造我真的好后悔,教育
以上这一幕正是宜兴市检察院近年来加强预防犯罪教育系列活动之一,教育
这一次他们特地与共建单位红塔中学联系组织１００多名表现好与表现较差的初一至高三的学生走进监狱接受一次特殊的现场教育罪犯们的沉痛教训对学生们触动很大,教育
可叹身陷囹圄日恰是金榜题名时这种未进学府先入牢房的现象理应引起家长学校乃至全社会的深思,教育
指出优秀的艺术作品可以给人们以启发教育和鼓舞,教育
全军坚持艰苦奋斗教育限制会议接待费用,教育
法律硕士学位教育指导委员会成立,教育
近日全国许多城市的青年志愿者开展各种为民服务和送温暖活动图为北京市东直门中学的两位女学生来到东直门敬老院帮助８０多岁的许奶奶包饺子,教育
本报讯陕西长武县采取果断措施刹风整纪全县共梳理揭摆违纪问题１２大类批评教育６０多人３０多名中层干部就自身存在的不正之风作了书面检查５名科级干部被免职马俊孝,教育
国务院副总理李岚清吴邦国全国政协副主席孙孚凌等同许多艺术界知名人士一起观看了今晚的演出并向周小燕从教５０周年表示祝贺演出前国务委员李铁映会见了周小燕和她的学生,教育
本报天津１月６日电在天津大学博士生导师不再实行终身制去年底这所大学首次对在岗的６７名６７岁以下的博士生导师进行考核有两名博导因未达到标准而被暂停招生,教育
本报牡丹江１月６日电１９９８年全国少年速度滑冰比赛今天在牡丹江市举行男女中专组甲组５００米等６枚单项赛金牌分别被黑龙江吉林辽宁和内蒙古４省区选手夺走,体育
这一全国最高水平的少年速滑比赛吸引了来自新疆内蒙古辽宁黑龙江吉林解放军和石油体协等２９支代表队的１３９名运动员参赛比赛为期４天白雪松,体育
巧借东风上层楼体育市场开发与新闻传播战略研讨会侧记,体育
体育产业到底是怎样一个概念,体育
体育产业发展应与国际接轨,体育
尽管我国体育产业的发展还受到诸多因素的困扰但这一产业可以成为新的经济增长点的大趋势已曙光初现因此与会的代表相信我国体育产业的发展前景一定会越来越好,体育
乒乓球擂台赛摄影比赛征稿,体育
擂台赛下一站比赛１月１０日在呼和浩特市举行男单由孔令辉对阎森女单由王晨对林菱,体育
坦桑尼亚总统姆卡帕说非洲不要民主教师爷,教育
乡里接受捐赠组织群众列队举行仪式以表重视和感谢之情乃情理中事本无可非议可是让几百名小学生停课举着旗敲着鼓在凛冽寒风中一站几个小时看了着实让人心痛,教育
国家教委虽然三令五申禁止组织学生参加各类庆典欢庆活动可是落实起来却很难最近我在洛阳市的一个乡政府所在地拍下的这个场面就是一例,教育
王光美１９２１年９月２６日生于北京毕业于北京辅仁大学物理系获硕士学位,教育
１９８８年７月当我领到那本鲜红烫金的大学毕业证书时鬓角已稀疏地染上了白霜,教育
在天津距南开大学不远的水上公园西北部矗立起一座庄重而素洁的建筑群落这就是海内外翘首期盼的周恩来邓颖超纪念馆今年３月５日周恩来同志百年诞辰之时它将向世人开放,教育
邵逸夫此次巨额赠款主要用于发展内地３３５个大中小学教育事业迄今为止邵逸夫共捐款１４．７亿港元资助教育项目达１５００个,教育
１沈阳医科大学第一附属医院把一部分下岗女工组成护嫂队伍经过培训后上岗实习,教育
科学家们在联名信中呼吁各国政府和科学家必须共同努力采取一切必要的行动包括开展教育活动使每一个人都认识到海洋与人类生存密切相关海洋物种减少人类的生存就会受到威胁,教育
１月８日将进行第三轮比赛对阵形势是陈祖德对聂卫平马晓春对汪见虹王磊对谭炎午周鹤洋对丁伟,体育
体育是具有产业性的社会主义公益事业附图片１张,体育
国际泳联近日做出决定坚持对服用类固醇的运动员进行四年的禁赛处罚,体育
澳大利亚游泳队主教练塔尔伯特说许多人早已怀疑国际体坛对服药的丑恶现象越来越姑息迁就但现在人们看到了一线希望至少国际泳联的行动是认真的本报珀斯１月７日电,体育
本届世锦赛是历史上规模最大的一次来自１２５个国家和地区的２４００多名运动员将在１１天里参加游泳跳水花样游泳水球长距离游泳５个大项的角逐,体育
国际泳联在本届比赛上新增设了女子水球和男女双人３米跳板１０米跳台等新项目以使比赛更具观赏性吸引更多的观众赞助商和新闻传媒,体育
俄罗斯的阿卡蒂耶夫和美国的罗斯今天分获男女５公里长距离游泳比赛冠军成绩分别是５５分１８秒６０和５９分２３秒５０,体育
中国体育试行承包制田径游泳奥运夺金任务分配到省,体育
全国男篮甲Ａ联赛第十三轮输者有苦衷赢家不高兴,体育
本报讯记者薛原报道在１月７日进行的希尔顿全国男篮甲Ａ联赛第十三轮中只有浙江中欣队与众不同唯一主场失败的球队,体育
充分发挥传媒优势推进体育产业发展附图片１张,体育
这些中学生回到城里该轮到爸爸妈妈惊讶了从饭桌上开始孩子懂得顾人了,教育
租用者只需交纳彩电售价的９０％作为押金便可搬走彩电租用一台５４厘米的彩电每天只要３元钱租一台７４厘米的每天也只需交７元钱租彩电的人中有不回家过年的学生和打工族,教育
迟浩田在国防大学讲课时强调现代高技术条件下仍要坚持人民战争,教育
本报南京１月８日电连日来坐落于淮安的周恩来同志故居周恩来纪念馆门前排起了长队来自各条战线的工人农民学生解放军战士机关干部深切怀念这位世纪伟人追忆他的丰功伟绩,教育
途径联办之路海南教育纪事之二,教育
异地联合办学优势互补资源共享这是海南教育界人士在发展教育中开拓出的一条联办之路海南省海口市旅游职业学校和海口实验中学的办学经历给来这里参观学习的人以很大的启迪,教育
教育发展也需要站在巨人的肩上这是一位同行在参观过上述两所学校后发出的感叹,教育
据新华社伦敦１月７日电记者毛磊英国曼彻斯特大学的一个研究小组正在利用古埃及木乃伊研究血吸虫病数千年来的演变过程据信这一研究有望为防治血吸虫病提供新线索,教育
大众体育是体育产业的根源附图片１张,体育
本报北京１月８日讯记者李长云报道圣雪绒杯中国围棋王赛今天在北京中国棋院揭开战幕俞斌九段和林峰三段在开幕式后的头两盘比赛中分别战胜刘世振四段和段嵘六段,体育
就目前我国的实际看新闻媒体在体育产业化中的作用可以概括为如下几个方面,体育
独自直接组织产业化的体育赛事,体育
充分发挥体育中介公司作用附图片１张,体育
本报讯９８东方巨人杯北京市第三届室内五人制国际业余足球赛将于１月１０日在北京光彩体育馆手球馆拉开序幕比赛将历时一个半月,体育
以仿为真将学生临摹的作品当做老师的无款作品或补上老师的名款印章或利用老师为学生作品的题款改造为老师作品,教育
八十高龄亲率众学生在沪连演三场然后又直奔北京附图片１张,教育
听着周老师清脆优雅的谈话感到她还是保持了一颗年轻的心感到她还有许多愿望想实现真希望我们都伸出自己的手助她一臂之力让功在中国艺术的周小燕声乐教育越办越兴旺文周,教育
在剑桥大学辩论是一年一度的盛举,教育
老许滚够了站起来拍拍身上的沙土新年就跟一批庚款留学生回国了紧跟着就是珍珠港事变邮路断了,教育
一所学校分三处上课东山有两个班西山有两个班大本营有三个班东山离大本营七里路西山离大本营十七里路学生们听课地点相对固定而教师因学科年级的不同就要在三地间跑来跑去,教育
